Year,Month,Region,Household_Members,Monthly_Household_Income_SGD,Fridge_Count,Aircon_Unit_Count,Aircon_Avg_Hours_Per_Day,Television_Count,Television_Avg_Hours_Per_Day,Computer_Count,Computer_Avg_Hours_Per_Day,Fan_Count,Fan_Avg_Hours_Per_Day,Light_Count,Light_Avg_Hours_Per_Day,Monthly_Energy_Consumption_kWh
2012,Mar,South,5,6500,2,0,0,3,3.8,1,3.8,3,1.6,11,5,372.1
2016,Sep,South,3,5300,1,0,0,2,2.5,2,3.9,2,6.7,8,3.8,218.8
2013,Jan,West,1,5750,1,0,0,3,1.1,3,3.9,1,1,10,1.7,277.3
2011,Jan,West,2,5350,1,2,2.5,2,1.1,0,0,2,7.6,5,2.1,280.5
2011,Sep,South,2,1600,1,0,0,2,2.8,2,2.3,1,6.7,7,1.3,208.2
2011,Dec,East,5,7800,1,0,0,3,3,1,1.8,1,8.8,13,1.6,317.7
2013,Mar,South,1,6300,1,0,0,2,2.1,3,1.1,1,6,12,5.2,298.8
2013,Jul,West,1,5200,1,0,0,2,2.2,2,2.9,3,3.1,8,5.3,215
2012,Dec,Central,1,6100,1,0,0,1,1.9,3,3,1,2.3,12,3.3,212
2011,Jan,East,3,6150,1,3,5,3,2.5,0,0,3,3.1,11,2,561.9
2011,Sep,West,5,5800,2,2,1.3,3,1.1,2,2.8,3,6.8,12,1.7,515.8
2016,Nov,West,1,5100,1,2,0.5,1,1.9,2,2.7,3,3.5,11,5,262.3
2011,Nov,West,3,5700,1,0,0,1,2.8,3,5.1,3,8.6,9,3.2,262.6
2011,Apr,Central,2,8300,1,0,0,2,1.9,2,3.9,3,5.5,7,5.9,217.9
2011,Apr,West,7,8650,1,0,0,1,1,6,3.9,3,1.9,17,1.6,111.1
2016,Aug,North,3,3100,1,1,5.1,2,3.8,2,2,2,2.1,11,1.1,618.3
2011,Jan,Central,5,1900,1,2,6.1,3,3.7,3,2.1,3,5.1,12,1.9,561.1
2011,Aug,South,1,7600,1,2,3.5,3,3.5,1,1.5,1,7,7,5.3,123.8
2012,Mar,Central,6,8500,2,0,0,3,1.1,1,3.3,3,1.3,17,1.3,137.9
2013,Jan,East,6,8950,1,3,9.5,1,5.8,3,2.6,8,3.8,12,5.1,909.1
2011,May,North,3,2000,1,0,0,1,1.1,3,5.1,1,2.6,10,3.8,221.5
2011,Jul,East,3,3350,1,3,7.2,1,1.8,1,3.9,2,1.6,8,2.6,738.2
2011,May,South,2,3100,1,0,0,1,1.8,1,5.2,2,3.5,7,1.6,185.1
2013,Feb,North,3,1500,1,0,0,2,2.2,1,0.7,2,3.2,11,1,171.1
2013,Jul,West,3,7900,1,2,1.2,2,5.2,3,3.1,2,3,10,5.2,198.8
2010,Nov,North,6,6050,1,3,5.7,3,3.9,3,2.2,3,5.9,15,5.6,700
2010,Dec,North,1,2350,1,0,0,2,2.7,3,1.1,1,1.1,7,2.7,189.1
2016,Jul,East,1,16111,1,1,8.5,3,3.7,5,1.2,1,1,13,1.1,1101.9
2011,Apr,West,2,1050,1,2,3.8,1,1.2,1,1.6,1,5.1,8,1.6,388.1
2016,Sep,West,3,3950,1,1,5.2,2,2,2,2.9,2,5.1,5,1.6,317.2
2010,Nov,East,3,1350,1,3,3.8,2,2.7,2,1.5,3,1.3,9,1.1,173
2011,May,South,3,6100,1,1,6.7,1,3.9,1,5.2,3,1.7,8,1.2,761.7
2010,Oct,North,3,2950,1,0,0,2,1.1,2,2.9,1,7.1,7,3.7,205
2013,May,East,5,1900,1,2,1.5,2,3.8,1,2.7,3,2.8,10,3.5,183
2011,Oct,Central,1,3850,1,0,0,2,3.5,3,3.5,3,1.5,11,1,261.6
2010,Aug,South,3,6700,1,0,0,2,3.2,3,1.1,1,1.3,7,5.9,263.5
2013,Aug,East,1,2950,1,0,0,1,1.9,2,3.5,3,1.5,8,3.1,165
2011,Nov,North,1,2000,1,0,0,1,2.3,1,1.5,2,3.1,7,2,133.1
2012,Jul,North,3,5050,1,0,0,1,2.1,1,2.6,2,5.8,7,6.1,177.9
2013,Dec,West,5,10650,1,3,6.7,2,3.3,5,1.6,3,1.8,13,1.5,789.2
2012,Sep,West,3,3900,1,0,0,2,2.8,1,3.5,1,6.6,7,5,259.7
2016,Aug,North,1,5850,1,3,6.8,3,1.8,2,3.9,1,3.8,7,6,773.7
2013,Nov,North,10,10550,1,1,9,1,5.7,7,3.6,8,1.6,19,6.8,1250
2010,Mar,East,1,5300,1,3,6.6,3,2.1,1,0.8,1,1.9,11,5.2,611.2
2016,Sep,East,5,6650,2,0,0,3,3.7,5,3.1,1,6.9,11,5.1,361.1
2016,Aug,Central,8,10550,2,0,0,1,3,1,1.7,3,8.6,16,6.5,183.3
2016,Feb,West,2,3800,1,0,0,2,2.5,1,1.9,3,2,7,1.7,191.8
2010,Apr,Central,3,1300,1,0,0,2,1.9,0,0,1,5.5,12,5.6,361.1
2016,Jun,West,2,1850,1,2,1.3,3,3.9,1,3,3,3.3,9,2.6,256.7
2015,Apr,Central,1,3850,1,2,0.5,3,3.3,2,0.9,1,6.1,10,1.2,291.2
2016,Oct,West,3,3950,1,2,7.2,1,1.1,2,6.9,1,1,7,5.8,519.5
2011,Apr,East,5,1100,2,0,0,3,1.2,2,2.5,3,1.3,12,1.2,282.1
2010,Nov,North,3,3200,1,2,1.2,1,2.9,2,1.8,1,6.2,5,1.6,370.7
2015,May,West,9,7950,1,1,7.6,1,5.9,1,1.1,3,1.1,17,3.3,1101.6
2011,Nov,North,1,6000,1,2,1.9,1,2.5,1,1.9,2,6.2,9,5,322.2
2016,Apr,West,2,7000,1,2,3.7,3,2.9,3,5.1,3,1.2,6,3.3,125.9
2011,Aug,South,1,8200,1,2,5.2,3,1.3,3,1.6,1,1.5,12,6.7,566.7
2011,Feb,West,2,1150,1,1,1.5,2,2.1,2,2.6,2,7.1,8,1.2,307.1
2013,Feb,North,3,7100,1,1,5.5,3,2.3,1,1.9,1,5.8,6,5.6,739
2013,Apr,East,3,3800,1,2,3.2,3,3.7,2,2.7,1,3.1,9,1,317.7
2010,Feb,North,1,3950,1,0,0,2,2.2,2,3.1,3,7.3,9,1.8,253.5
2010,Sep,North,1,2000,1,0,0,1,2.8,1,2.6,2,6.3,5,5.5,127.1
2011,Feb,North,5,7050,2,1,3.2,3,1.3,1,2,3,6,10,5.1,656.3
2011,Apr,North,1,8200,1,3,7,2,2.9,3,5.3,3,1.5,9,3.5,793
2016,Dec,East,1,7100,1,1,1.3,2,3,2,1.1,3,2.3,12,5.1,655.1
2015,Oct,East,2,2550,1,0,0,1,3.6,2,2.2,1,5.6,9,5.5,209.7
2015,Apr,East,2,7850,1,0,0,2,3.6,0,0,2,8.8,8,1.3,217.8
2011,Nov,East,7,10000,2,2,9.8,1,3.7,1,1.8,3,1.1,18,5.6,851.7
2016,Apr,North,3,5500,1,0,0,2,3.1,1,0.9,1,6.5,7,2.6,197.1
2011,Mar,West,6,6900,1,0,0,1,1.1,1,0.8,3,5.3,12,3.8,362.2
2012,Oct,West,2,3700,1,0,0,2,0.6,1,2.1,3,5.9,9,1.1,198.3
2015,Jan,West,2,2000,1,0,0,2,3,2,3.8,1,1,7,3.5,201.7
2011,Dec,North,5,9150,1,3,6.1,3,2.7,5,2.7,1,1.3,12,2.9,695.3
2010,Dec,South,3,5150,1,0,0,1,2.6,2,1.5,1,5.8,11,5.1,269.1
2013,Dec,East,1,6000,1,0,0,2,2.3,2,2.6,2,2.9,7,3.5,168.1
2016,Feb,South,1,6650,1,0,0,2,5.5,5,7.3,1,1.3,11,3.1,377.5
2013,Jan,East,1,5950,1,3,6.9,3,3,2,3.5,1,2.1,10,6.9,706.3
2011,Mar,Central,3,19829,2,3,9.1,3,1.1,1,5.8,1,5.8,13,5.7,1026.3
2016,Jun,East,1,6350,1,2,5.3,3,1.6,3,3.1,1,8.2,7,1.2,539
2016,Apr,West,1,6700,1,0,0,3,3.2,3,2,1,7.7,11,5.3,259.5
2011,Mar,Central,1,3350,1,0,0,2,3.7,3,5.2,3,1.9,8,3.7,298.3
2010,Feb,Central,2,3650,1,2,1.3,1,2.7,1,2,2,2.2,8,3.8,372.6
2013,Sep,East,3,1900,1,0,0,2,2,2,2.7,1,6,13,1.1,197.1
2011,Sep,West,5,7000,2,0,0,3,3.2,1,2.5,1,1.9,12,1.5,308.6
2011,Jun,West,5,2000,1,3,5.5,3,2.6,2,1.7,1,6,12,5.8,576.5
2011,Sep,East,2,3550,1,0,0,2,2.2,2,2.3,2,6.2,11,5.2,228.6
2010,Oct,West,3,5100,1,0,0,2,3,2,2,1,1.6,11,5.5,256.9
2011,Jun,West,5,18550,1,5,7.9,3,1,1,5.1,3,2.3,17,3.6,1250
2015,Jul,Central,8,10000,2,0,0,1,3,5,3.2,8,5.3,16,1,170.1
2013,Aug,North,5,6300,1,5,6.6,3,1.7,3,3.1,3,1,13,1.7,932.9
2012,Aug,North,2,2250,1,1,1,1,2.8,0,0,1,1.7,7,5.1,511.5
2016,Feb,North,3,5500,1,0,0,1,3.2,2,5,3,7.1,9,3.1,218.6
2016,Jan,North,3,6600,1,0,0,1,3,1,2.7,1,1.1,10,6,121.6
2011,May,North,6,10200,1,1,6.5,3,1.9,3,6.3,3,5.6,13,5.6,1053.9
2015,Apr,West,1,9700,1,3,2.8,3,2.3,1,3.1,3,1,11,1.1,503.9
2016,Oct,North,2,6950,1,2,1,2,3,3,2.8,1,6.1,9,3.7,111.6
2011,Jul,North,3,5100,1,0,0,2,1.2,2,2.5,3,3.8,10,5.1,236.8
2010,Jun,West,1,2900,1,0,0,2,3.1,2,3.1,1,1.3,10,6.1,280.1
2015,Sep,North,6,9800,2,2,1.9,1,2.9,1,2.6,1,3.9,13,1.9,581.3
2010,Nov,West,3,5950,1,3,6.7,2,2.5,2,3.1,1,3.1,8,1.1,679.2
2012,Sep,East,6,9150,1,0,0,2,1,3,1,3,3.1,12,1.3,351.1
2010,Oct,Central,1,2500,1,2,1.6,1,2,1,3.5,1,5,7,2.5,366.8
2011,Jan,South,3,1350,1,0,0,2,2.7,2,3.7,1,1,9,5.5,261.9
2016,Jan,North,6,7850,3,3,1.7,1,3.5,1,1.5,1,3.9,12,5.5,725.1
2010,Mar,Central,6,6100,1,1,1.1,1,2.9,5,3.7,3,3.5,16,1.1,189.8
2011,Aug,North,1,3600,1,0,0,3,3.9,3,0.1,3,3.8,11,5.2,227.3
2011,Oct,Central,2,2000,1,3,6.3,1,1.2,2,0.6,3,3.2,9,1.8,653.8
2011,Jan,South,1,6050,1,0,0,3,1.1,2,1.8,1,2.1,8,2.5,280.1
2016,Jan,Central,3,5300,1,3,1.5,3,2.9,1,5.9,2,1,6,5.8,130.1
2016,Aug,Central,3,1600,1,0,0,3,1.1,2,1.2,1,1.6,7,3.7,261.5
2012,Feb,West,1,3350,1,0,0,1,1.1,1,2.3,1,1.1,6,3.8,113.1
2011,Feb,North,2,2000,1,0,0,2,3.1,2,0.3,1,5.3,8,5.1,181.7
2013,Jun,Central,1,12162,2,1,7.2,3,1.1,3,3.8,3,1.9,12,1.3,973
2012,Apr,Central,2,3350,1,0,0,2,5.1,1,2.9,3,1.1,8,1.5,201
2010,Aug,North,9,10200,2,5,6.7,1,1.9,6,3.7,9,3.1,18,1.1,1212.5
2013,Dec,North,3,1300,1,2,1.6,3,3.8,1,2.5,1,3.9,12,3.5,262.3
2011,Feb,East,2,1900,1,0,0,2,3.1,2,5.6,2,6.1,8,3.2,211.1
2010,Sep,South,3,2000,1,0,0,1,2.8,3,0.3,2,9,9,5.9,181.3
2015,Jul,Central,3,18055,1,1,9,3,3.2,1,1.9,3,3.6,12,5.1,1250
2013,Oct,Central,5,7600,1,0,0,2,1.9,3,3,3,8.1,12,5.1,313.1
2013,Jun,West,1,3300,1,3,1.1,3,3.7,1,0.3,3,5,12,1.5,539
2011,Sep,North,8,8650,1,5,8.7,1,3.1,1,3.1,3,5.2,20,1.3,1250
2015,Jan,West,6,6850,2,1,1.1,3,1.9,5,2.8,3,1.3,13,3.3,655.3
2011,Mar,West,3,5150,1,0,0,1,1.8,2,2.6,3,5,8,1.1,189.1
2016,Nov,North,1,7350,1,3,3.3,3,3.7,1,1.7,3,1.1,11,3.2,510.8
2013,Oct,East,3,5100,1,0,0,1,1.7,2,1.3,3,8.2,7,6,260.9
2013,Dec,West,3,5100,1,3,6,3,2.1,2,3.2,1,2.9,9,2.9,619.8
2011,Apr,Central,1,6100,1,1,6.3,3,3.6,3,2.5,3,7.1,10,1.3,813.8
2010,May,East,3,2950,1,3,0.5,2,3.1,0,0,1,3.7,11,3.1,198.6
2016,Jan,West,7,7850,2,0,0,1,3.5,1,1,1,1.9,15,6.6,176.8
2016,Jul,Central,1,9550,1,2,1,2,3.2,3,2.2,3,6.2,11,1.2,191.5
2015,Jan,East,3,6200,1,0,0,2,1.1,3,5.1,3,8.8,9,1.9,289
2011,Apr,South,3,1000,1,2,5.7,3,5.5,2,1.6,2,7.2,12,1.7,199.6
2011,Jan,West,1,8100,1,0,0,2,3.3,3,3,3,1.5,13,3.2,288.6
2015,Jul,West,2,2950,1,0,0,2,3,1,2.9,1,6.7,7,5.7,216.1
2016,Jul,West,6,12000,1,1,6.5,3,2.2,5,3.8,3,3.1,15,1.5,982
2011,Jan,East,1,3300,1,0,0,3,3.1,3,2.8,3,6.2,11,1.9,318.6
2012,Apr,East,5,6700,2,1,2.8,1,3.7,1,0.5,1,5,12,1.1,327.8
2011,Oct,North,2,1100,1,0,0,2,3.1,1,1.8,2,1.9,6,2.5,165
2015,Sep,Central,3,3350,1,0,0,2,1.5,1,3.5,3,5.3,1,3.8,235.6
2015,Sep,North,1,1550,1,0,0,2,3.7,5,1.8,3,7.3,9,3.7,273.7
2012,Oct,South,1,5600,1,0,0,2,1.2,3,2,3,5.1,11,3.9,276.3
2010,Oct,Central,2,5100,1,1,6.1,3,2.6,1,2.1,1,5.6,8,2.8,332.1
2016,Aug,West,6,10250,1,1,5.8,3,3.9,3,2.9,3,1.5,13,1.3,820.9
2015,Aug,South,2,1250,1,0,0,1,1.9,1,1.1,2,6.9,9,3.1,201.8
2012,Apr,North,3,1050,1,0,0,2,1.1,3,5.3,3,1,9,1.5,236.9
2016,Jan,Central,1,5950,1,1,5.6,2,2.9,3,2.8,1,2.1,11,1.9,658.7
2011,May,West,3,5700,1,0,0,3,3.3,2,5.6,2,5.6,12,3.5,279.8
2011,May,Central,5,8300,1,0,0,3,1,2,3.3,1,5.8,12,2.2,261.6
2010,Apr,West,1,1150,1,2,3.3,1,2.8,1,0.3,1,3.9,10,6.2,316.1
2011,Apr,West,6,9100,2,0,0,3,1.1,3,0.6,3,6.5,11,5.3,361.7
2016,Jun,East,1,2000,1,3,3.5,1,1,1,6,3,3.6,10,3.9,199.5
2016,Nov,East,5,6100,2,0,0,3,1,3,1.6,3,7,13,6.5,363.1
2011,Jan,North,2,2050,1,0,0,2,3,3,3.2,3,7.5,7,3.1,222
2016,Oct,Central,1,9100,1,2,1,1,3.5,6,5.9,1,5.8,10,5.1,618.5
2013,Dec,North,1,1500,1,0,0,3,1.2,3,3.1,1,1.8,12,1.7,256.7
2011,Aug,East,1,6100,1,3,7.1,2,2.5,3,7.1,3,1,15,6.5,710.1
2012,Apr,East,2,1850,1,1,2,1,1.1,1,0.3,2,3.1,7,1.6,219.2
2010,Feb,East,1,6000,1,2,6.6,1,3.5,1,0.7,3,2.9,10,1.5,179.5
2015,Dec,East,1,5150,1,0,0,2,3.1,3,1,3,3.1,10,3.6,219.8
2012,Oct,Central,5,3150,2,3,1.1,2,3.2,1,3.8,3,1.8,9,7.6,637.7
2010,Apr,North,3,1550,1,0,0,2,2.5,2,1.1,3,3.5,7,3,175.3
2013,Mar,West,9,10150,1,1,8.3,1,2.9,5,3,8,3,19,5.5,1162.6
2011,Nov,West,5,7150,1,0,0,1,3.8,1,1.2,1,1.7,9,7.2,313.9
2010,Apr,East,2,5800,1,0,0,1,2.1,0,0,3,7.5,7,3.5,197.1
2012,Sep,North,1,8200,1,0,0,3,3,2,2.7,3,3.2,11,3.1,273.1
2010,Jun,South,3,5900,1,1,3.9,2,3.2,2,3.5,1,7.6,10,3.7,319
2012,Apr,North,3,3550,1,0,0,3,2.7,3,1.9,2,5,5,3.6,217.5
2012,Aug,East,1,7500,1,3,6.9,1,3,3,6.5,1,5.2,15,1.8,867.9
2011,Mar,East,1,1600,1,2,1.9,3,1.7,1,2.8,3,5.1,10,6.2,523.1
2011,Dec,West,2,5650,1,2,1.9,3,1.6,0,0,1,3,8,1.9,138
2016,Apr,West,3,7600,1,2,8.3,2,1.2,2,1,1,1.6,12,1.1,613.9
2011,May,East,5,6600,2,3,7.1,3,2.7,3,1.1,3,8.1,13,5.1,888.1
2011,Feb,North,3,1800,1,0,0,2,3.6,2,3.8,3,3,9,1.1,226.8
2010,Apr,Central,3,5100,1,2,5.7,2,1.3,3,0.1,3,5.7,11,3.6,161.1
2016,Jan,East,1,7350,1,0,0,2,1.9,1,2.1,3,1.1,10,3.3,217.8
2011,Jun,West,5,7300,2,1,8.6,1,3.8,3,3.8,3,1,11,1.7,1115.1
2016,Feb,West,5,7600,1,1,5.1,3,3.5,2,1.1,1,1.7,11,5.1,1117.2
2016,Nov,West,1,12000,1,0,0,2,3.1,1,1.7,3,2.1,13,5.5,333.6
2015,Nov,Central,1,7000,1,2,5,2,1.1,1,1.9,1,5,1,2.7,383.1
2011,Jun,North,3,7250,1,0,0,3,3.1,1,1.1,1,1.1,9,1.1,267.2
2012,Jan,South,5,6200,2,3,5.9,1,1.7,2,2.1,3,2.9,11,5,770.1
2013,Nov,East,5,3150,1,3,5.3,3,1.2,1,0.6,3,2.1,11,6.7,596.1
2011,Sep,South,2,1950,1,1,5.2,2,3.9,3,1.2,1,2.9,10,2.6,337.2
2012,Mar,West,3,5700,1,1,6.1,3,3.7,3,3.9,3,1,10,5.5,715
2010,Apr,East,2,1250,1,3,1.6,2,1.2,2,2,1,3.1,10,3.2,536.1
2011,Jul,North,6,6600,2,3,7.1,3,3.3,5,1.8,3,5.2,11,1.5,835.7
2013,Nov,Central,2,5600,1,0,0,1,3.3,2,5.2,2,1.9,13,1.1,215.3
2011,Jan,South,5,1950,2,3,5.8,2,1,1,5.9,1,1,11,6.2,703.7
2011,Sep,North,9,7350,1,3,7.1,1,3,5,1.1,8,5.3,20,6.3,901.8
2013,May,West,5,3600,2,2,8.7,2,3.9,5,3.2,3,5.1,12,5.8,792.9
2010,Oct,North,3,3750,1,0,0,2,2.5,2,1.1,3,5.6,8,2.8,191.3
2010,May,East,3,1550,1,3,5.2,2,2.1,0,0,2,1.2,9,1.9,555.7
2010,Aug,Central,6,7000,1,1,6.1,3,1.3,1,2.1,3,3.2,15,6,996.1
2016,Dec,West,1,1150,1,0,0,2,1,1,1.1,2,1.1,12,5.7,233.5
2016,Jul,Central,5,10050,1,1,1.1,3,2.5,2,3.5,1,3.2,12,3.2,707.9
2011,Jul,Central,3,7350,1,3,7.5,3,6,2,5.3,3,6.2,9,5.1,717.8
2012,Oct,East,7,6950,1,3,7.5,1,5.1,5,2.1,3,3,16,5,912.7
2012,Nov,North,1,8050,1,2,5.1,3,1.1,1,1.7,3,6.1,13,2.7,581.5
2010,May,North,1,16550,2,3,6.5,3,2.5,1,3.1,2,5.6,13,5.1,818.3
2010,Nov,Central,3,2000,1,0,0,2,3.7,2,2.1,3,1.3,9,3.8,209.5
2016,Feb,West,6,7100,1,2,5.3,2,1.8,3,5,1,6.1,11,6.7,589.6
2012,Sep,North,1,6150,1,0,0,2,3.9,0,0,1,11.2,9,1.8,271.7
2015,Mar,South,5,5000,1,0,0,3,2,1,0.6,1,1.3,13,6.7,215.8
2016,Oct,North,1,1200,1,0,0,3,2.6,2,3.2,1,6,10,3.9,212
2011,Mar,North,3,1850,1,0,0,1,2.7,2,1.3,3,5.7,12,3.8,232.3
2011,Sep,East,6,5700,1,0,0,3,3.1,6,5.5,3,6.8,13,3.6,152.5
2015,Aug,East,8,9800,1,2,8.1,1,5.2,5,5,3,7.7,17,5.2,889.6
2015,Mar,South,1,7600,1,0,0,3,2,2,0.7,3,1.6,12,1.7,217.7
2012,Sep,East,1,5850,1,0,0,1,2.5,1,1.5,1,1.1,6,1.6,132.1
2011,Mar,North,3,1950,1,0,0,2,1.9,1,0.3,1,5.7,11,5.7,217.7
2012,Mar,East,5,5650,1,3,5.9,3,3.1,1,1.6,3,3.8,12,1.8,718.6
2010,Feb,East,2,2200,1,0,0,1,2.1,1,1.9,3,6.7,6,1.1,175.2
2011,Apr,South,1,7000,1,0,0,1,2,2,3.3,3,5.9,11,3.7,291.5
2011,Oct,Central,1,5150,1,2,1.1,2,3.1,0,0,3,5.1,9,1,100.7
2012,Jul,North,2,5900,1,2,1.7,1,2.8,0,0,1,1.7,11,1.7,117
2015,Nov,North,1,6500,1,0,0,2,2.7,3,0.9,3,5.1,11,5.3,267.9
2013,May,West,1,1950,1,2,6.1,2,2.5,3,3.1,1,6.5,12,1.2,510.1
2016,Jan,East,5,10050,2,3,7.2,3,3.5,1,3.5,1,5.3,15,3.7,892.6
2013,Oct,West,1,2850,1,2,2.1,1,2.5,2,2.5,1,5.2,5,5,308
2010,Jan,West,6,1950,2,3,5,1,1.7,3,2,1,1,10,6.1,1118.1
2015,Sep,West,2,2000,1,0,0,2,3.8,2,2.7,2,5.5,9,3.7,200.9
2016,Sep,East,1,3100,1,3,1.2,3,2.1,2,1.8,3,1.3,1,1.8,171.6
2013,Sep,Central,2,1950,1,0,0,2,2,3,2.8,1,5.5,6,1.6,216.7
2013,Apr,North,3,5800,1,0,0,3,2.7,1,1.7,1,1.7,9,1.2,263.1
2011,Dec,North,5,6550,2,2,5.2,2,3.1,3,5.5,1,5.1,11,1.9,610.7
2013,Jan,Central,3,6150,1,3,2.9,2,2.9,2,3.1,2,3.2,6,5.1,171.9
2011,Oct,Central,3,1150,1,2,5.2,1,5.3,3,1.3,2,1.6,9,6.2,150.7
2011,Aug,South,3,5100,1,0,0,1,1,2,2,1,1.1,10,1.3,219.5
2013,Oct,East,5,1050,2,1,3.8,3,3.7,3,1.1,3,1,12,6.5,610
2013,Sep,North,2,3800,1,1,6.9,1,3.8,2,0.3,2,5.6,5,1.1,317.5
2016,Mar,North,1,7150,1,3,3.7,2,0.1,1,3,1,5.7,12,5,573.3
2016,Oct,East,5,8900,2,3,6.2,3,3.2,1,3.5,1,7.5,15,5,781.1
2011,Feb,North,8,10650,1,0,0,1,3.9,5,3.8,3,7.2,16,5.1,120.3
2011,Mar,West,5,5100,1,3,6,3,2.2,2,2.6,3,3.1,11,1.2,710.7
2011,Sep,North,1,5700,1,0,0,2,3,2,3.3,1,7.3,10,1.1,211.8
2013,Apr,Central,1,5150,1,0,0,2,2.8,1,2.8,1,5,13,1.8,293.7
2013,Nov,Central,3,7800,1,2,2.3,1,3.3,2,3.8,2,8.1,10,3.3,352.7
2011,Jul,North,5,1550,2,0,0,3,1.1,1,1.5,3,7.3,11,1,390.9
2011,Apr,North,1,1050,1,0,0,2,3.1,2,1.1,1,8,9,2.8,226.1
2013,Aug,East,7,8900,3,0,0,3,3,3,3.7,8,3.6,16,1.3,131.2
2011,Jun,Central,1,7000,1,1,6.1,3,2.3,2,1.3,2,2.1,10,5.9,811.5
2016,Mar,West,1,8350,1,0,0,2,0.7,2,3.9,3,3.6,11,3.2,278.7
2013,May,North,2,5000,1,1,6.9,1,2.1,3,6,2,8.5,10,1.1,128.1
2015,Jul,East,5,7050,1,0,0,2,2.8,5,2.2,3,1.6,10,1.7,271.7
2011,Mar,West,5,6650,1,0,0,3,1.8,2,1.9,3,5.9,11,1.3,211.3
2012,Jul,North,6,1600,1,2,8.7,2,3.1,3,3.8,3,1.9,13,3.8,776.7
2011,Jul,West,1,6650,1,3,5,2,3.6,1,5.1,1,6.3,12,7.1,613.2
2011,Jan,West,1,6850,1,3,6.1,1,3.1,1,2.6,3,3.5,13,1.2,611.6
2011,Aug,West,1,6800,1,1,5.9,1,3,3,2.5,2,5.5,9,5.2,768.5
2015,Nov,North,5,6900,1,3,5.7,3,5.2,3,1.3,3,6.1,12,1.9,616
2015,Jan,South,3,2600,1,0,0,2,3.1,2,0.3,3,5.2,10,1.3,185
2011,Aug,West,3,1850,1,0,0,2,2,2,2.5,3,1.1,9,1.8,208.2
2015,Oct,East,3,1500,1,0,0,1,1.7,2,3.3,2,6.1,9,3.1,216.1
2013,Jul,West,3,1650,1,0,0,3,1.3,1,2.1,1,3,9,1.9,281.6
2012,Feb,South,2,5100,1,2,2.7,2,3.2,1,3.3,2,1.1,6,1.1,289.6
2012,Aug,North,2,5000,1,0,0,2,2.3,0,0,3,6.2,9,1.3,229.8
2011,Oct,North,1,2000,1,1,1.1,1,0.6,2,1.6,1,3.1,6,5.3,156.2
2011,Aug,North,1,5100,1,0,0,2,0.7,3,1,1,1,8,6.1,219.7
2012,Jun,East,5,6700,1,0,0,2,3.1,3,2,3,3.3,15,1.5,256.8
2011,Jun,Central,1,9100,1,0,0,3,3.8,3,2.9,3,6.5,13,3.7,288.8
2013,Nov,North,6,3500,1,3,2.9,1,3.9,2,0.3,3,5.1,12,6.7,501
2013,Feb,East,3,3300,1,0,0,2,3.1,2,2,1,1,11,5.1,212
2010,Dec,West,5,9150,1,3,5.7,2,5,3,1.7,1,5.5,16,1.6,689.5
2013,Jul,East,1,11152,2,1,8.5,3,3.1,1,1.1,1,7.5,7,5.2,1018.3
2016,Feb,North,3,8100,1,0,0,2,1,2,2.9,1,2.9,10,3.6,283
2011,Aug,North,1,2000,1,0,0,1,2.6,1,0.3,1,6.5,8,5.5,138.3
2015,Jul,East,1,7100,1,3,6.5,2,3.2,1,2.5,2,1.7,13,5.3,636.6
2012,Mar,North,5,8750,1,1,8,3,3.1,1,3.6,3,3,15,5.5,1055.9
2011,Dec,West,3,5650,1,0,0,3,2.1,3,2.1,1,5.9,10,3.1,233.6
2011,Aug,East,1,1150,1,2,6.1,3,3.2,2,3.2,3,6,11,3.9,531.3
2011,May,North,3,3350,1,0,0,3,1.1,2,1.1,1,1.1,6,1.3,218.6
2012,Dec,West,5,6600,1,1,5.3,1,3.6,3,1.3,3,3.3,15,1.6,828.3
2016,Feb,East,1,1650,1,2,0.5,3,3.2,1,3.5,2,6.7,9,1.5,278.7
2013,Sep,West,1,3750,1,0,0,3,2.7,2,3.6,1,6.6,11,6.5,281.1
2012,Sep,West,1,9300,1,1,5.8,2,2.6,1,3.1,3,2.6,11,1.7,889.9
2011,Apr,Central,5,8100,2,0,0,2,1.1,1,0.8,3,3.8,12,5.3,303.7
2012,Nov,East,1,1950,1,0,0,2,1.7,2,2.8,3,8.7,12,3.1,255.7
2010,Apr,North,1,3050,3,1,8.5,2,3.2,3,5.9,1,6.1,12,5.8,511.1
2012,Apr,West,1,3150,1,0,0,3,2.2,2,1.2,3,3.8,11,6.1,263.5
2013,Mar,West,1,5850,1,0,0,3,1.1,2,1.6,1,1.3,7,3.8,281.1
2016,Dec,Central,6,6500,1,0,0,3,2.9,5,1.2,3,1.5,13,1.6,311
2013,Mar,East,2,2000,1,2,2.1,2,3,1,1.2,2,1.6,8,5.9,132.1
2010,Feb,East,2,5850,1,2,5,2,3.5,3,2.9,1,2.5,7,3.3,387.5
2011,Nov,East,6,5800,2,1,2.7,1,1.3,3,3,3,5.5,11,5.6,668.2
2013,Mar,West,5,8850,1,0,0,2,2.5,1,3.5,1,1.3,16,5.1,291.3
2012,Apr,North,6,7150,1,1,9.2,3,1.9,1,3.1,1,6.1,16,5.1,1188
2011,Mar,Central,7,11900,1,0,0,1,3.6,7,1.5,3,1.9,17,1.9,159.1
2010,May,South,2,2950,1,0,0,2,1.1,2,0.5,2,7,6,1.6,199.9
